cancer_code,source_cohort,source_project,source_version,source_pmid,source_type,source_scale_class,linear_tpm_comparable,tumor_origin,metastasis_site,processing_pipeline,notes,n_reference_genes,n_reference_samples,selected
NBL,TARGET_NBL_2018,TARGET Neuroblastoma,TARGET Neuroblastoma 2018; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,mixed,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,One deterministic GDC sample per case: 153 primary tumors plus two recurrent samples required to reproduce the published 155-sample matrix. MYCN status comes from cBioPortal nbl_target_2018_pub; the one explicit Unknown call stays in the non-amplified child to preserve the published 33/122 split.,60279,155,True
NBL_MYCNamp,TARGET_NBL_2018,TARGET Neuroblastoma,TARGET Neuroblastoma 2018; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,mixed,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,One deterministic GDC sample per case: 153 primary tumors plus two recurrent samples required to reproduce the published 155-sample matrix. MYCN status comes from cBioPortal nbl_target_2018_pub; the one explicit Unknown call stays in the non-amplified child to preserve the published 33/122 split.,60279,33,True
NBL_MYCNnonamp,TARGET_NBL_2018,TARGET Neuroblastoma,TARGET Neuroblastoma 2018; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,mixed,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,One deterministic GDC sample per case: 153 primary tumors plus two recurrent samples required to reproduce the published 155-sample matrix. MYCN status comes from cBioPortal nbl_target_2018_pub; the one explicit Unknown call stays in the non-amplified child to preserve the published 33/122 split.,60279,122,True
NEC_LUNG_LARGECELL,DRMETRICS_ALCALA_2019_LNEN,GEO (DR-metrics / Alcala LNEN),PMID 31431620 (Alcala 2019) + PMID 33203751 (Gabriel 2020); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,github-release,linear_rnaseq_tpm,True,primary,,drmetrics_alcala_2019_lnen_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"IARC pan-LNEN cohort, 238 samples uniformly processed (STAR + featureCounts, GENCODE v33, GRCh38). Histology routed via Attributes.txt Histopathology_simplified — Typical/Atypical/ Carcinoid/Supra_carcinoid (n=118) → LUNG_NET_LC; LCNEC (n=69) → LUNG_NET_LCNEC; SCLC (n=51) skipped (covered by SCLC UCologne 2015).",59178,69,True
NEC_MERKEL,GSE235092_MERKEL_2024,GEO,GSE235092 (Merkel cell carcinoma bulk RNA-seq panel); unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,gse235092_merkel_2024_raw_counts_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"All 91 bulk-RNA Merkel cell carcinoma tumor samples (Sample_source_name == ""Merkel Cell Carcinoma (MCC)""); symbol-keyed raw counts → length-normalized → per-sample TPM. The MCPyV viral transcripts (57kT / ALTO / …) drop out as non-human at harmonization.",23265,91,True
NET_LUNG,DRMETRICS_ALCALA_2019_LNEN,GEO (DR-metrics / Alcala LNEN),PMID 31431620 (Alcala 2019) + PMID 33203751 (Gabriel 2020); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,github-release,linear_rnaseq_tpm,True,primary,,drmetrics_alcala_2019_lnen_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"IARC pan-LNEN cohort, 238 samples uniformly processed (STAR + featureCounts, GENCODE v33, GRCh38). Histology routed via Attributes.txt Histopathology_simplified — Typical/Atypical/ Carcinoid/Supra_carcinoid (n=118) → LUNG_NET_LC; LCNEC (n=69) → LUNG_NET_LCNEC; SCLC (n=51) skipped (covered by SCLC UCologne 2015).",59178,118,True
NET_MIDGUT,GSE98894_ALVAREZ_2018_NET,GEO,PMID 30013182 (Alvarez 2018 NET master regulator analysis); unit=recount3 Gencode-v26 coverage gene-sums; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,recount3,linear_rnaseq_tpm,True,primary,,gse98894_alvarez_2018_net_recount3_gencode_v26_coverage_gene_sums_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Rebuilt from recount3 (SRP107025, Gencode v26) for coverage-complete genes — the author HTSeq counts dropped XAGE1A/XAGE1B; recount3 recovers them (see docs/recount3-integration.md). Routed by recount3 sample 'origin' attribute: ~81 SI-NET → MID_NET, ~113 PNET → PANNET, ~18 rectal NET → REC_NET. EVERY sample is a liver metastasis; all shards tagged tumor_origin=metastasis, metastasis_site=liver. The PANNET shard here is distinct from the primary-tumor GSE118014_ALVAREZ_2018 PANNET shard — both coexist. Supersedes the RAW.tar HTSeq build (scripts/build_gse98894_midgut_net.py). REC_NET registry code was added with the original build.",60464,81,True
NET_PANCREAS,GSE118014_ALVAREZ_2018,GEO,GSE118014 (Alvarez 2018); unit=recount3 Gencode-v26 coverage gene-sums; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,recount3,linear_rnaseq_tpm,True,primary,,gse118014_alvarez_2018_recount3_gencode_v26_coverage_gene_sums_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Well-differentiated PRIMARY pancreatic neuroendocrine tumors (n=33), rebuilt from recount3 (SRP156049, Gencode v26) for coverage-complete genes — see docs/recount3-integration.md. Distinct from the liver-met PANNET shard (gse98894-midnet). Supersedes the summary-only import (scripts/import_cancer_specific_expression.py).",60464,33,True
NET_PANCREAS,GSE98894_ALVAREZ_2018_NET,GEO,PMID 30013182 (Alvarez 2018 NET master regulator analysis); unit=recount3 Gencode-v26 coverage gene-sums; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,recount3,linear_rnaseq_tpm,True,primary,,gse98894_alvarez_2018_net_recount3_gencode_v26_coverage_gene_sums_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Rebuilt from recount3 (SRP107025, Gencode v26) for coverage-complete genes — the author HTSeq counts dropped XAGE1A/XAGE1B; recount3 recovers them (see docs/recount3-integration.md). Routed by recount3 sample 'origin' attribute: ~81 SI-NET → MID_NET, ~113 PNET → PANNET, ~18 rectal NET → REC_NET. EVERY sample is a liver metastasis; all shards tagged tumor_origin=metastasis, metastasis_site=liver. The PANNET shard here is distinct from the primary-tumor GSE118014_ALVAREZ_2018 PANNET shard — both coexist. Supersedes the RAW.tar HTSeq build (scripts/build_gse98894_midgut_net.py). REC_NET registry code was added with the original build.",60464,113,False
NET_RECTAL,GSE98894_ALVAREZ_2018_NET,GEO,PMID 30013182 (Alvarez 2018 NET master regulator analysis); unit=recount3 Gencode-v26 coverage gene-sums; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,recount3,linear_rnaseq_tpm,True,primary,,gse98894_alvarez_2018_net_recount3_gencode_v26_coverage_gene_sums_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Rebuilt from recount3 (SRP107025, Gencode v26) for coverage-complete genes — the author HTSeq counts dropped XAGE1A/XAGE1B; recount3 recovers them (see docs/recount3-integration.md). Routed by recount3 sample 'origin' attribute: ~81 SI-NET → MID_NET, ~113 PNET → PANNET, ~18 rectal NET → REC_NET. EVERY sample is a liver metastasis; all shards tagged tumor_origin=metastasis, metastasis_site=liver. The PANNET shard here is distinct from the primary-tumor GSE118014_ALVAREZ_2018 PANNET shard — both coexist. Supersedes the RAW.tar HTSeq build (scripts/build_gse98894_midgut_net.py). REC_NET registry code was added with the original build.",60464,18,True
NPC,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,4,True
NUTM,UNC_NUTM1,UNC NUTM1 case series,UNC NUTM1 case series; Ensembl 112; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,unc-case-series,linear_rnaseq_tpm,True,primary,,Whole-transcriptome RNA-seq gene-level TPM renormalized to 1e6; Ensembl 112,Three primary NUT carcinoma cases. This is the only per-sample NUTM expression cohort; public NUT data are otherwise cell-line or controlled-access datasets.,20031,3,True
NUTM,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,1,False
OV,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,426,True
PAAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,179,True
PCPG,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,182,True
PRAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,496,True
RB,TREEHOUSE_RIBOD_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 RiboDeplete (released Jan 2025; TPM matrix 2025-03-19). GSE294353.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_ribod_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"RiboD (ribo-depleted) sibling of treehouse-polya-25-01; 2,079 samples. Same builder works after pointing `--cache-dir` / `--tpm-file` / `--clinical-file` at the RiboD files. For raw values for genes in the single global technical-RNA panel can differ from PolyA by more than 10x. Clean TPM replaces that 9% compartment with the Treehouse PolyA reference composition for every assay. The physical cohorts remain separate source_cohort tags because clean TPM does not make the assays physically equivalent.",34571,15,True
READ,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,93,True
READ_MSI,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,Treehouse (TCGA-COAD/READ) x cBioPortal MSIsensor,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-COAD/READ subset split by cBioPortal MSIsensor score from coadread_tcga_pan_can_atlas_2018. PMID 26028255.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_coadread_msi_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-COAD and TCGA-READ samples in separate colon and rectum disease buckets. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas sample-level MSIsensor scores and routes MSI-H as MSI_SENSOR_SCORE >= 10, matching the existing oncoref TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI source-cohort provenance. MSS rows use MSI_SENSOR_SCORE < 10.",34571,2,True
READ_MSS,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,Treehouse (TCGA-COAD/READ) x cBioPortal MSIsensor,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-COAD/READ subset split by cBioPortal MSIsensor score from coadread_tcga_pan_can_atlas_2018. PMID 26028255.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_coadread_msi_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-COAD and TCGA-READ samples in separate colon and rectum disease buckets. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas sample-level MSIsensor scores and routes MSI-H as MSI_SENSOR_SCORE >= 10, matching the existing oncoref TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI source-cohort provenance. MSS rows use MSI_SENSOR_SCORE < 10.",34571,83,True
RT,TARGET_RT_2017,TARGET Rhabdoid Tumor,TARGET Rhabdoid Tumor 2017; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Backfill candidate from GDC.,60279,63,True
SARC_ANGIO,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,20,True
SARC_ASPS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,3,True
SARC_CCS,GSE248751_HUMAN_CCS_2023,GEO,PMID 38136296 (Clear Cell Sarcoma frozen primary RNA-seq); unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,gse248751_human_ccs_2023_raw_counts_to_tpm_oncoref_canonical_clean_tpm_16_9_75,n=5 primary CCS tumors (hCCS_1..5). 3 muscle normal controls excluded by sample_filter. Raw counts → length-norm TPM. Low n.,16725,5,True
SARC_CHON,GSE299759_MEIJER_2026,GEO,GSE299759 (Meijer 2026); unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,gse299759_meijer_2026_raw_counts_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Chondrosarcoma.,62497,54,True
SARC_CHOR,GSE239531_VANOOST_2024,GEO,"GSE239531 (van Oost 2024, PMID 38272563); unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,geo-matrix,linear_rnaseq_tpm,True,primary,,gse239531_vanoost_2024_raw_counts_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"20 primary chordoma tumors; augments the 3-sample Treehouse ribo-depleted CHOR cohort. Ensembl-keyed raw counts, length-normalized to TPM by the shared CHON builder core.",62497,20,True
SARC_CHOR,TREEHOUSE_RIBOD_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 RiboDeplete (released Jan 2025; TPM matrix 2025-03-19). GSE294353.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_ribod_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"RiboD (ribo-depleted) sibling of treehouse-polya-25-01; 2,079 samples. Same builder works after pointing `--cache-dir` / `--tpm-file` / `--clinical-file` at the RiboD files. For raw values for genes in the single global technical-RNA panel can differ from PolyA by more than 10x. Clean TPM replaces that 9% compartment with the Treehouse PolyA reference composition for every assay. The physical cohorts remain separate source_cohort tags because clean TPM does not make the assays physically equivalent.",34476,3,False
SARC_DDLPS,TREEHOUSE_POLYA_25_01_TCGA_SARC_HISTOLOGY,Treehouse (TCGA-SARC) x GDC primary diagnosis,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-SARC liposarcoma samples split by GDC diagnoses.primary_diagnosis. PMID 24071852.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_sarc_histology_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-SARC liposarcoma samples in one parent liposarcoma disease bucket. This source joins each TCGA sample barcode prefix to the GDC TCGA-SARC diagnoses.primary_diagnosis table and routes well-differentiated, dedifferentiated, and pleomorphic liposarcoma separately. The two-sample PLEOLPS overlay is published as an additional source; the four-sample GSE75885 RNA-seq matrix remains its selected raw source matrix.",34571,48,True
SARC_DDLPS,GSE75885_DELESPAUL_2017,GEO,"GSE75885 (Delespaul 2017, PMID 28278311); unit=RPKM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,geo-rnaseq,linear_rnaseq_tpm,True,primary,,gse75885_delespaul_2017_rpkm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Soft-tissue sarcoma subtypes (DDLPS n=19, PLEOLPS n=4, LGFMS n=2) from the GEO processed RNA-seq matrix (GSE75885_Expression_117_sarcomas.tsv.gz), per-sample subtype from series-matrix !Sample_title. Per-sample build (#305) replacing the lost summary-only import. The 117-sample matrix also holds LMS/UPS/MFS/pleomorphic-RMS other sources already cover.",18905,19,False
SARC_DDLPS,GSE30929_SINGER_2007_LPS,GEO,PMID 22241786 (Singer 2007 MSKCC 140-sample LPS classifier); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,gse30929_singer_2007_lps_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Affymetrix HG-U133A (GPL96) microarray; 140 primary liposarcomas from MSKCC, explicitly histology-tagged via char_subtype: 52 WD-LPS, 40 DD-LPS, 20 pleomorphic, 17 myxoid, 11 myxoid/round-cell. The round-cell variant IS high-grade myxoid LPS (WHO grade III, same FUS::DDIT3 fusion entity), so both collapse to SARC_MYXLPS (n=28). Builds 4 shards from one cohort via sample_include_regex (matched against char_subtype). MYXLPS biology validates: FABP4 2799 / ADIPOQ 917 / PPARG 424 (adipogenic program), FUS+DDIT3 both ~165 (fusion partners both expressed), STAT3 253 + JAK1 207 (FUS-DDIT3/JAK-STAT axis per PMC8851354).",13653,40,False
SARC_DSRCT,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,9,True
